"Periodo";"Cod Actividad";"Actividad";"Producto";"Descripción producto";"OF";"Cod Turno";"Turno";"Hora inicio";"Hora fin";"Tiempo Total";"M";"Tiempo línea operativa";"M PNP PP";"NAF";"Cerrado";"Preparación";"Producción";"Mantenimiento";"Uds. en caja";"NOK Varpe";"Uds. reprocesadas";"Unidades CAL";"Uds. sobrantes";"Uds. reutilizadas";"Unidades4";"Unidades5";"Unidades6";"Unidades7";"Unidades8";"Unidades9";"Unidades10";"Unidades Totales";"Uds. teóricas";"Operarios";"Disponibilidad (%)";"Calidad (%)";"Rendimiento línea (%)";"OEE (%)";"CentroTrabajo";"Horas operario total";"Unid/M";"Unid/(M+PNP)";"Hora";"NPERF";"M_OK_TEO";"DCALIDAD";"Horas Lab Dec";"TipoTurno";"Área";"Horas operario indirectas";"Horas operario directas";"Cod_OF";"Uds. envasadora";"Uds. proceso";"Reproceso (%)";"Calidad";"Defectos";"Den_C";"Num_C";"Uds. / hora";"Num_RNDrbd";"Den_RNDrbd";"RNDrbd";"%RNDrbd";"prccalidadnominal";"%C'";"%OEPE";"Paros - Ajustes (h)";"Paros - Averías (h)";"Paros - Cambios (h)";"M_PNP";"Num_RNDrbd";"Den_RNDrbd";"Rdto. Línea (uds/min)";"Hora 1a unidad";"Hora 1r avance";"Uds. rechazadas";"Id_WorkGroup";"Uds. planning";"Uds. totales";"Uds. / hora nominal";"Uds. a fabricar";"RP_RESTA";"RP_NORESTA";"RZ_RESTA";"RZ_NORESTA";"RZI_RESTA";"RZI_SUMA";"Uds. rechazadas iniciales";"Uds. entrada";"Rechazos iniciales (%)";"OEE ADA (%)";"Calidad ADA (%)";"M_OK_TEO_ADA";"Uds. / hora / persona";"Kg / hora / persona";"Horas operario totales (h)";"Peso Final";"Uds. ADA / hora ";"Uds. Varpe OK";"Merma plástico (%)";"Merma plástico ADA (%)";"Tiempo línea operativa (h)";"Horas operario directas (h)";"Horas operario indirectas (h)";"Número medio operarios directos";"Código proceso";"Tiempo Total Paros";"Paros - Esperas (h)";"Paros - Descanso/WC (h)";"Paros - Top (h)";"Detalle Paros";"Paros - Averías (%)";"Paros - Ajustes (%)";"Paros - Esperas (%)";"Paros - Cambios (%)";"Paros - Descanso/WC (%)";"Paros - Top (%)";"Paros - Prog Otros (h)";"Paros - Prog Otros (%)";"Paros - PP (h)";"Paros - TND (h)";"Paros - PNP (h)";"Paros - PP (%)";"Paros - PNP (%)";"Paros - TND (%)";"Uds. báscula totales";"UnidadesPulso";"Metros por pulso";"Consumo plástico teórico (m)";"Num merma plástico contadores";"Merma plástico contadores (%)";"Horas operario directas num";"Uds. ADA / hora / persona directos";"Código MMPP"
"2026/09/22";"CERRADO";"CERRADO";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 6:00:00";"22/09/2026 6:08:41";521,00;0,00;521,00;521,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;0;521,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0,00";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,14";"0,00";"0,00";"0,00";" ";521;521;0;0;130;"0,0";"0,0";"100,0";"0,0";"0,0";"0,0";0;"0,0";0;0;521;"0,0";"100,0";"0,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"CERRADO";"CERRADO";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 9:03:47";"22/09/2026 9:21:41";1074,00;0,00;0,00;1074,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0";"0";"0";"0";"N2_ELA_L03";0,00;"0";"0";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;0;0,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,00";"0,00";"0,00";"0";" ";0;0;0;0;130;"0";"0";"0";"0";"0";"0";0;"0";0;1074;0;"0";"0";"100,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"CAMBIOS";"CAMBIOS";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 7:40:51";"22/09/2026 7:57:59";1028,00;0,00;1028,00;1028,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;1028;1028,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0,00";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,29";"0,00";"0,00";"0,00";" ";1028;0;0;0;130;"0,0";"0,0";"0,0";"100,0";"0,0";"0,0";0;"0,0";1028;0;0;"100,0";"0,0";"0,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"CAMBIOS";"CAMBIOS";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 8:07:28";"22/09/2026 8:44:39";2231,00;0,00;2231,00;2231,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;2231;2231,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0,00";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,62";"0,00";"0,00";"0,00";" ";2231;0;0;0;130;"0,0";"0,0";"0,0";"100,0";"0,0";"0,0";0;"0,0";2231;0;0;"100,0";"0,0";"0,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"CAMBIOS";"CAMBIOS";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 10:48:40";"22/09/2026 11:45:53";3433,00;0,00;3433,00;3433,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;3433;3433,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0,00";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,95";"0,00";"0,00";"0,00";" ";3433;0;0;0;130;"0,0";"0,0";"0,0";"100,0";"0,0";"0,0";0;"0,0";3433;0;0;"100,0";"0,0";"0,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"PAROS PROGRAMADOS";"PAROS PROGRAMADOS";"--";"--";"--";"2-MAÑANA";"2-MAÑANA";"22/09/2026 9:21:41";"22/09/2026 9:57:06";2125,00;0,00;2125,00;2125,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"--";0,00;0,00;"0";1;"";"";"";"0";0,000;0,000;"0";"100";95,51;"104,17";"0";0;0;0;2125,00;0,000;0,000;"0";"";"";0,00;130;0,00;"0";0,00;0,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"0,00";"0";0,00;"0";"0";"0,00";0,00;"0";0,00;"100,00";"100,00";"0,59";"0,00";"0,00";"0,00";" ";2125;0;2125;0;130;"0,0";"0,0";"0,0";"0,0";"100,0";"0,0";0;"0,0";2125;0;0;"100,0";"0,0";"0,0";0;0,000;0,000;"0";"0";"0";"0";"0";""
"2026/09/22";"PRODUCCION";"PRODUCCIÓN";"27739";"PICADA CERDO WQ 500G EAP LIDL";"7817157";"2-MAÑANA";"2-MAÑANA";"22/09/2026 13:39:29";"22/09/2026 14:00:00";1231,00;737,00;1231,00;1231,00;0,00;"";"";"";"";399,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;93,00;0,00;0,00;0,00;0,00;399,00;491,33;"";"59,87";"107,35";"75,71";"48,66";"N2_ELA_L03";0,00;"1.948,98";"1.166,86";"0";558,00;598,50;558,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"7817157";372,00;399,00;"0,00";1058140;"";"";"";"1.167";38,400;1920,000;"2";"98";100,00;"98";"47,69";270;0;0;1231,00;38,400;1920,000;"32,48";"22/09/2026 13:36:30";"22/09/2026 13:39:32";0,00;130;3840,00;"399";2400,00;3840,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"399,00";"0,00";"0,00";"107,26";0,00;"0";"0";"0,00";0,00;"1.167";399,00;"-7,35";"-7,26";"0,34";"0,00";"0,00";"0,00";"241006D";566;224;0;0;130;"0,0";"21,9";"18,2";"0,0";"0,0";"0,0";0;"0,0";0;0;494;"0,0";"40,13";"0,0";3978;4,000;0,830;"83";"-83";"0";"0";"0";""
"2026/09/22";"CAMBIOS OF";"CAMBIOS OF";"27739";"PICADA CERDO WQ 500G EAP LIDL";"7817157";"2-MAÑANA";"2-MAÑANA";"22/09/2026 13:32:46";"22/09/2026 13:39:29";403,00;0,00;403,00;403,00;0,00;"";"";"";"";8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;"";"0,00";"50,00";"0";"2,98";"N2_ELA_L03";0,00;"0";"71,46";"0";24,00;12,00;24,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"7817157";16,00;8,00;"0,00";1058140;"";"";"";"71";38,400;1920,000;"2";"98";100,00;"98";"2,92";0;0;403;403,00;38,400;1920,000;"0";"22/09/2026 13:36:30";"22/09/2026 13:39:32";0,00;130;3840,00;"8";2400,00;3840,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"8,00";"0,00";"0,00";"50,00";0,00;"0";"0";"0,00";0,00;"71";8,00;"50,00";"50,00";"0,11";"0,00";"0,00";"0,00";"241006D";403;0;0;0;130;"0,0";"0,0";"0,0";"100,0";"0,0";"0,0";0;"0,0";403;0;0;"100,0";"0,0";"0,0";3978;4,000;0,830;"2";"-2";"0";"0";"0";""
"2026/09/22";"CAMBIOS OF";"CAMBIOS OF";"27095";"PICADA CERDO 1KG WQ  EAP LIDL";"7817156";"2-MAÑANA";"2-MAÑANA";"22/09/2026 11:48:09";"22/09/2026 11:48:19";10,00;0,00;10,00;10,00;0,00;"";"";"";"";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;"";"0,00";"0";"0";"0,00";"N2_ELA_L03";0,00;"0";"0,00";"0";0,00;0,00;0,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"7817156";0,00;0,00;"0";1058142;"";"";"";"0";262,700;1536,000;"17";"83";100,00;"83";"0";0;0;10;10,00;262,700;1536,000;"0";"22/09/2026 11:48:43";"22/09/2026 11:51:05";0,00;130;1792,00;"0";2400,00;1792,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"0,00";"0";"13.680,00";"0";1368,00;"0";"0";"0,00";912,00;"0";0,00;"100,00";"100,00";"0,00";"0,00";"0,00";"0";"241019L";10;0;0;0;130;"0,0";"0,0";"0,0";"100,0";"0,0";"0,0";0;"0,0";10;0;0;"100,0";"0,0";"0,0";1595;4,000;0,830;"0";"0";"0";"0";"0";""
"2026/09/22";"PRODUCCION";"PRODUCCIÓN";"27095";"PICADA CERDO 1KG WQ  EAP LIDL";"7817156";"2-MAÑANA";"2-MAÑANA";"22/09/2026 11:48:19";"22/09/2026 13:32:46";6267,00;3012,00;6267,00;6267,00;0,00;"";"";"";"";1678,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;395,00;0,00;0,00;0,00;0,00;1678,00;2008,00;"";"48,06";"106,20";"78,69";"40,16";"N2_ELA_L03";0,00;"2.005,58";"963,91";"0";2370,00;2517,00;2370,00;"0";"--";"N2_ELABORADO";0,00;"0:00:00";"7817156";1580,00;1678,00;"0,00";1058142;"";"";"";"964";262,700;1536,000;"17";"83";100,00;"83";"33,33";1471;0;300;6267,00;262,700;1536,000;"33,43";"22/09/2026 11:48:43";"22/09/2026 11:51:05";0,00;130;1792,00;"1.678";2400,00;1792,00;0,000;0,000;0,000;0,000;0,000;0,000;"0";"1.678,00";"0,00";"14,94";"106,20";936,00;"0";"0";"0,00";624,00;"964";1678,00;"-6,20";"-6,20";"1,74";"0,00";"0,00";"0,00";"241019L";3895;1484;0;0;130;"0,0";"23,5";"23,7";"4,8";"0,0";"0,0";0;"0,0";300;0;2955;"4,79";"47,15";"0,0";1595;4,000;0,830;"348";"-348";"0";"0";"0";""
